date,open,high,low,close,volume,symbol,top_fractal,bottom_fractal,pen_type,pen_start,pen_end,segment_type,segment_start,segment_end,central_bank,central_bank_high,central_bank_low,target_price,stoploss
2025-04-30,1.032,1.041,1.031,1.033,690924776,512880,False,False,,False,False,,False,False,False,,,1.05366,1.0020099999999998
2025-05-06,1.038,1.049,1.036,1.048,1044355219,512880,False,False,,False,False,,False,False,False,,,1.0689600000000001,1.01656
2025-05-07,1.078,1.086,1.05,1.055,1782928514,512880,False,False,,False,False,,False,False,False,,,1.0761,1.02335
2025-05-08,1.049,1.062,1.048,1.059,917032977,512880,False,False,,False,False,,False,False,False,,,1.08018,1.0272299999999999
2025-05-09,1.057,1.057,1.043,1.046,864397650,512880,False,True,up,True,False,up,True,True,True,1.103,1.052,1.103,1.01462
2025-05-12,1.051,1.074,1.048,1.07,1697249996,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.0379
2025-05-13,1.076,1.079,1.06,1.062,1302818758,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.03014
2025-05-14,1.063,1.119,1.058,1.099,3494595175,512880,True,False,,False,False,,False,False,True,1.103,1.052,1.12098,1.052
2025-05-15,1.089,1.096,1.078,1.079,1124474552,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.04663
2025-05-16,1.076,1.079,1.064,1.067,1048300848,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.0349899999999999
2025-05-19,1.066,1.071,1.06,1.068,582704082,512880,False,True,,False,False,,False,False,True,1.103,1.052,1.103,1.03596
2025-05-20,1.068,1.073,1.064,1.068,810926695,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.03596
2025-05-21,1.068,1.071,1.064,1.065,720329395,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.03305
2025-05-22,1.062,1.064,1.055,1.057,712199600,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.0252899999999998
2025-05-23,1.056,1.063,1.042,1.043,1052853900,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.0117099999999999
2025-05-26,1.042,1.046,1.038,1.042,565638107,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.01074
2025-05-27,1.042,1.043,1.036,1.042,579890600,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.01074
2025-05-28,1.042,1.043,1.035,1.036,553036200,512880,False,True,,False,False,,False,False,True,1.103,1.052,1.103,1.00492
2025-05-29,1.037,1.051,1.036,1.049,1139486143,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.0175299999999998
2025-05-30,1.045,1.046,1.037,1.043,720722900,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.0117099999999999
2025-06-03,1.038,1.058,1.037,1.052,983665270,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.02044
2025-06-04,1.049,1.07,1.049,1.065,1316949384,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.03305
2025-06-05,1.066,1.081,1.064,1.075,1479836203,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.0427499999999998
2025-06-06,1.075,1.079,1.066,1.068,712244400,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.03596
2025-06-09,1.074,1.09,1.073,1.084,1445693956,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.10568,1.05148
2025-06-10,1.084,1.084,1.062,1.07,1205496371,512880,False,True,,False,False,,False,False,True,1.103,1.052,1.103,1.0379
2025-06-11,1.071,1.103,1.071,1.089,1764271624,512880,True,False,down,True,True,down,True,True,True,1.103,1.052,1.1107799999999999,1.052
2025-06-12,1.083,1.1,1.081,1.087,1038635700,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.10874,1.052
2025-06-13,1.082,1.087,1.073,1.076,1022606200,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.04372
2025-06-16,1.073,1.093,1.072,1.092,1276252133,512880,False,True,,False,False,,False,False,True,1.103,1.052,1.1138400000000002,1.052
2025-06-17,1.09,1.096,1.087,1.095,1030272977,512880,True,False,,False,False,,False,False,True,1.103,1.052,1.1169,1.052
2025-06-18,1.094,1.094,1.076,1.082,1334157290,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.1036400000000002,1.0495400000000001
2025-06-19,1.079,1.081,1.06,1.061,1370952800,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.02917
2025-06-20,1.062,1.067,1.059,1.059,567637200,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.103,1.0272299999999999
2025-06-23,1.053,1.076,1.052,1.072,1060115152,512880,False,True,up,True,True,up,True,True,True,1.103,1.052,1.103,1.03984
2025-06-24,1.073,1.108,1.073,1.099,2090669566,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.12098,1.052
2025-06-25,1.102,1.166,1.102,1.158,4268190000,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.18116,1.052
2025-06-26,1.159,1.159,1.136,1.138,2302416162,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.16076,1.052
2025-06-27,1.14,1.176,1.137,1.138,2451842831,512880,True,False,,False,False,,False,False,True,1.103,1.052,1.16076,1.052
2025-06-30,1.139,1.141,1.125,1.136,1664068074,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.15872,1.052
2025-07-01,1.137,1.137,1.121,1.13,1185723821,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.1525999999999998,1.052
2025-07-02,1.129,1.132,1.121,1.124,1038879723,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.1464800000000002,1.052
2025-07-03,1.126,1.135,1.125,1.131,1088154239,512880,False,False,,False,False,,False,False,True,1.103,1.052,1.15362,1.052
2025-07-04,1.13,1.152,1.121,1.131,1926628920,512880,True,False,down,True,True,down,True,True,True,1.103,1.052,1.15362,1.052
2025-07-07,1.127,1.137,1.125,1.132,933173996,512880,False,False,,False,False,,False,False,False,,,1.1546399999999999,1.09804
2025-07-08,1.132,1.148,1.131,1.146,1576162141,512880,False,False,,False,False,,False,False,False,,,1.16892,1.1116199999999998
2025-07-09,1.146,1.156,1.138,1.141,1711589092,512880,False,False,,False,False,,False,False,False,,,1.16382,1.10677
2025-07-10,1.138,1.161,1.137,1.155,1675271078,512880,False,False,,False,False,,False,False,False,,,1.1781000000000001,1.12035
2025-07-11,1.159,1.206,1.155,1.181,3677984123,512880,True,False,,False,False,,False,False,False,,,1.20462,1.14557
2025-07-14,1.186,1.188,1.168,1.17,1683814544,512880,False,False,,False,False,,False,False,False,,,1.1934,1.1348999999999998
2025-07-15,1.172,1.18,1.158,1.164,1716963800,512880,False,False,,False,False,,False,False,False,,,1.18728,1.1290799999999999
2025-07-16,1.162,1.169,1.152,1.16,1289744700,512880,False,True,up,True,True,up,True,True,True,1.254,1.184,1.254,1.1252
2025-07-17,1.16,1.168,1.156,1.166,1581106090,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.13102
2025-07-18,1.167,1.174,1.164,1.171,1404323834,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.13587
2025-07-21,1.169,1.19,1.165,1.187,2045147886,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.15139
2025-07-22,1.186,1.193,1.173,1.189,1891723309,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.15333
2025-07-23,1.192,1.222,1.192,1.199,3275874610,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.16303
2025-07-24,1.194,1.235,1.192,1.232,2884331435,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.25664,1.184
2025-07-25,1.233,1.24,1.224,1.227,1922325464,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.184
2025-07-28,1.227,1.254,1.221,1.238,1835462399,512880,True,False,down,True,True,down,True,True,True,1.254,1.184,1.26276,1.184
2025-07-29,1.233,1.244,1.213,1.243,2173684692,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.2678600000000002,1.184
2025-07-30,1.239,1.243,1.215,1.225,1926994510,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.184
2025-07-31,1.218,1.231,1.192,1.198,2256878512,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.1620599999999999
2025-08-01,1.197,1.206,1.186,1.191,1686848285,512880,False,False,,False,False,,False,False,True,1.254,1.184,1.254,1.15527
2025-08-04,1.186,1.194,1.184,1.193,1381573518,512880,False,True,up,True,True,up,True,True,True,1.327,1.262,1.327,1.15721
2025-08-05,1.196,1.209,1.194,1.205,1791504876,512880,False,False,,False,False,,False,False,True,1.327,1.262,1.327,1.16885
2025-08-06,1.204,1.212,1.2,1.21,1610921652,512880,False,False,,False,False,,False,False,True,1.327,1.262,1.327,1.1737
2025-08-07,1.21,1.222,1.203,1.209,1688038496,512880,True,False,,False,False,,False,False,True,1.327,1.262,1.327,1.17273
2025-08-08,1.207,1.208,1.196,1.199,1354539380,512880,False,True,,False,False,,False,False,True,1.327,1.262,1.327,1.16303
2025-08-11,1.198,1.221,1.197,1.215,1906282600,512880,False,False,,False,False,,False,False,True,1.327,1.262,1.327,1.17855
2025-08-12,1.216,1.222,1.211,1.221,1636432041,512880,False,False,,False,False,,False,False,True,1.327,1.262,1.327,1.1843700000000001
2025-08-13,1.226,1.254,1.216,1.242,3180926730,512880,False,False,,False,False,,False,False,True,1.327,1.262,1.327,1.20474
2025-08-14,1.243,1.268,1.238,1.241,2850282778,512880,False,False,,False,False,,False,False,True,1.327,1.262,1.327,1.20377
2025-08-15,1.236,1.313,1.236,1.3,4083998919,512880,False,False,,False,False,,False,False,True,1.327,1.262,1.327,1.261
