date,open,high,low,close,volume
2025-11-03,1.204,1.212,1.188,1.212,377261324
2025-11-04,1.209,1.21,1.188,1.195,370748023
2025-11-05,1.182,1.196,1.18,1.193,236724816
2025-11-06,1.193,1.207,1.191,1.203,275960100
2025-11-07,1.199,1.203,1.188,1.195,261256400
2025-11-10,1.196,1.202,1.182,1.193,278755400
2025-11-11,1.194,1.198,1.18,1.181,314102000
2025-11-12,1.178,1.179,1.155,1.17,755327817
2025-11-13,1.168,1.183,1.166,1.179,417948874
2025-11-14,1.176,1.187,1.171,1.174,305000677
2025-11-17,1.199,1.202,1.183,1.188,788462677
2025-11-18,1.186,1.186,1.167,1.172,432247700
2025-11-19,1.171,1.184,1.166,1.178,469832453
2025-11-20,1.175,1.177,1.165,1.165,331769700
2025-11-21,1.155,1.164,1.136,1.142,579138996
2025-11-24,1.145,1.19,1.145,1.188,996184508
