date,open,high,low,close,volume,symbol,top_fractal,bottom_fractal,pen_type,pen_start,pen_end,segment_type,segment_start,segment_end,central_bank,central_bank_high,central_bank_low,target_price,stoploss
2025-09-15,4.622,4.662,4.614,4.629,721191518,510300,False,False,,False,False,,False,False,False,,,4.721579999999999,4.49013
2025-09-16,4.632,4.652,4.591,4.62,788903361,510300,False,False,,False,False,,False,False,False,,,4.712400000000001,4.4814
2025-09-17,4.615,4.659,4.599,4.653,715407882,510300,False,False,,False,False,,False,False,False,,,4.74606,4.5134099999999995
2025-09-18,4.655,4.676,4.554,4.594,1187372710,510300,True,True,down,True,False,down,True,True,False,,,4.68588,4.45618
2025-09-19,4.59,4.633,4.587,4.604,731613811,510300,False,False,,False,False,,False,False,False,,,4.69608,4.46588
2025-09-22,4.604,4.621,4.582,4.619,629276623,510300,False,False,,False,False,,False,False,False,,,4.71138,4.480429999999999
2025-09-23,4.627,4.656,4.558,4.622,1055000135,510300,False,True,,False,False,,False,False,False,,,4.71444,4.48334
2025-09-24,4.597,4.664,4.596,4.663,1004485867,510300,False,False,,False,False,,False,False,False,,,4.75626,4.52311
2025-09-25,4.663,4.718,4.657,4.695,771336231,510300,False,False,,False,False,,False,False,False,,,4.7889,4.55415
2025-09-26,4.677,4.699,4.65,4.651,715305937,510300,False,False,,False,False,,False,False,False,,,4.74402,4.51147
2025-09-29,4.648,4.755,4.64,4.728,1195436520,510300,False,True,up,True,True,up,True,False,False,,,4.82256,4.58616
2025-09-30,4.734,4.75,4.72,4.741,740380927,510300,False,False,,False,False,,False,False,False,,,4.83582,4.598769999999999
2025-10-09,4.754,4.836,4.75,4.816,897090608,510300,True,False,,False,False,,False,False,False,,,4.91232,4.67152
2025-10-10,4.787,4.794,4.704,4.719,1174642559,510300,False,False,,False,False,,False,False,False,,,4.81338,4.5774300000000006
2025-10-13,4.598,4.704,4.596,4.692,965836187,510300,False,False,,False,False,,False,False,False,,,4.78584,4.55124
2025-10-14,4.725,4.74,4.62,4.645,1161909516,510300,False,False,,False,False,,False,False,False,,,4.7379,4.505649999999999
2025-10-15,4.648,4.715,4.627,4.706,997401276,510300,False,False,,False,True,,False,True,False,,,4.800120000000001,4.56482
